City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,77.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2,Varzea Da Palma,BR,70.63,scattered clouds,-17.5981,-44.7308,Casa Fernandes
8,Inhambane,MZ,75.29,light rain,-23.865,35.3833,Oceano
10,Mataura,NZ,61.48,broken clouds,-46.1927,168.8643,Ellie's Villa
15,Loon,PH,81.88,overcast clouds,9.7998,123.7929,Ladressner's
16,East London,ZA,72.25,scattered clouds,-33.0153,27.9116,Tu Casa
17,Ilheus,BR,74.97,scattered clouds,-14.7889,-39.0494,Barravento Hotel
20,Lorengau,PG,85.05,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
21,Najran,SA,65.05,few clouds,17.4924,44.1277,محمد هادي ال فطيح
24,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
25,Port Alfred,ZA,71.46,overcast clouds,-33.5906,26.891,The Halyards Hotel
32,Boyolangu,ID,85.89,broken clouds,-8.1181,111.8935,Yos ega cv
33,Rikitea,PF,78.84,clear sky,-23.1203,-134.9692,People ThankYou
34,Nouadhibou,MR,64.38,sand,20.931,-17.0347,El Medina
36,Kavaratti,IN,81.99,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
39,Busselton,AU,78.31,clear sky,-33.65,115.3333,Observatory Guest House
41,Touros,BR,79.18,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
43,Hobart,AU,73.27,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
45,Hermanus,ZA,65.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
48,Diourbel,SN,76.21,clear sky,14.6628,-16.3925,ISFAR maison Blanche
49,Balikpapan,ID,82.4,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
52,Robertsport,LR,79.47,light rain,6.7533,-11.3686,Kwepunha Retreat
53,Hanmer Springs,NZ,68.67,scattered clouds,-42.5167,172.8167,The Chalets Motel
56,Tshikapa,CD,71.62,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
57,Cockburn Town,TC,77.74,clear sky,21.4612,-71.1419,Osprey Beach Hotel
61,Esperance,AU,76.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
62,Sao Joao Da Barra,BR,78.03,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
64,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Kaitangata,NZ,63.86,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
66,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
67,Yining,CN,75.61,broken clouds,29.0361,114.5636,Xiushui Hotel
68,Cidreira,BR,69.62,overcast clouds,-30.1811,-50.2056,Hotel Castelo
70,Nueva Gorgona,PA,78.58,clear sky,8.55,-79.8667,Coronado Luxury Club & Suites
