City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ostrovnoy,RU,68.0531,39.5131,20.35,95,74,11.88,broken clouds
1,Hilo,US,19.7297,-155.09,77.25,79,24,7.0,few clouds
2,Varzea Da Palma,BR,-17.5981,-44.7308,70.63,74,31,1.34,scattered clouds
3,Corum,TR,40.5,34.75,19.26,55,100,3.58,overcast clouds
4,Filingue,NE,14.3521,3.3168,78.66,18,29,12.03,scattered clouds
5,Bethel,US,41.3712,-73.414,43.02,80,52,3.8,broken clouds
6,Shetpe,KZ,44.1667,52.1167,37.81,97,100,5.61,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,41.11,70,0,6.91,clear sky
8,Inhambane,MZ,-23.865,35.3833,75.29,89,18,10.45,light rain
9,Mount Darwin,ZW,-16.7725,31.5838,62.56,88,99,3.8,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,61.48,60,68,9.48,broken clouds
11,Ushuaia,AR,-54.8,-68.3,44.26,61,0,6.91,clear sky
12,Lannion,FR,48.75,-3.4167,44.58,84,75,11.5,broken clouds
13,Georgiyevka,KZ,43.0369,74.7114,48.24,93,75,4.47,light intensity shower rain
14,Provideniya,RU,64.3833,-173.3,25.07,57,0,11.1,clear sky
15,Loon,PH,9.7998,123.7929,81.88,80,96,1.45,overcast clouds
16,East London,ZA,-33.0153,27.9116,72.25,86,46,13.58,scattered clouds
17,Ilheus,BR,-14.7889,-39.0494,74.97,86,30,1.88,scattered clouds
18,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,100,10.36,light snow
19,Atbasar,KZ,51.8,68.3333,8.69,94,100,16.49,light snow
20,Lorengau,PG,-2.0226,147.2712,85.05,68,31,4.25,scattered clouds
21,Najran,SA,17.4924,44.1277,65.05,59,13,5.77,few clouds
22,Jamestown,US,42.097,-79.2353,29.84,71,100,8.05,snow
23,Saskylakh,RU,71.9167,114.0833,-12.64,91,100,3.74,overcast clouds
24,Port Blair,IN,11.6667,92.75,84.24,79,20,6.91,mist
25,Port Alfred,ZA,-33.5906,26.891,71.46,92,98,11.23,overcast clouds
26,Klaksvik,FO,62.2266,-6.589,45.52,94,100,43.8,overcast clouds
27,Folkestone,GB,51.0833,1.1833,48.97,92,79,8.01,broken clouds
28,Severo-Kurilsk,RU,50.6789,156.125,31.86,98,100,1.57,light snow
29,Altay,CN,47.8667,88.1167,30.31,86,100,2.75,light snow
30,Rio Grande,BR,-32.035,-52.0986,59.11,69,2,8.7,clear sky
31,Hlatikulu,SZ,-26.9667,31.3167,55.74,96,11,3.56,few clouds
32,Boyolangu,ID,-8.1181,111.8935,85.89,68,84,6.69,broken clouds
33,Rikitea,PF,-23.1203,-134.9692,78.84,67,1,3.24,clear sky
34,Nouadhibou,MR,20.931,-17.0347,64.38,68,0,19.57,sand
35,Karratha,AU,-20.7377,116.8463,95.92,34,3,1.16,clear sky
36,Kavaratti,IN,10.5669,72.642,81.99,73,11,4.41,few clouds
37,Ribeira Grande,PT,38.5167,-28.7,58.51,75,100,12.24,overcast clouds
38,Kapuskasing,CA,49.4169,-82.4331,17.69,86,100,12.66,overcast clouds
39,Busselton,AU,-33.65,115.3333,78.31,64,0,13.65,clear sky
40,Luderitz,NA,-26.6481,15.1594,67.5,83,51,7.43,broken clouds
41,Touros,BR,-5.1989,-35.4608,79.18,80,100,5.75,overcast clouds
42,Fortuna,US,40.5982,-124.1573,51.1,89,0,8.05,clear sky
43,Hobart,AU,-42.8794,147.3294,73.27,45,20,9.22,few clouds
44,Lumberton,US,34.6182,-79.0086,54.45,94,100,3.42,overcast clouds
45,Hermanus,ZA,-34.4187,19.2345,65.8,82,0,3.83,clear sky
46,Silver City,US,32.7701,-108.2803,41.67,53,0,8.05,clear sky
47,Umm Kaddadah,SD,13.6017,26.6876,64.35,18,100,15.17,overcast clouds
48,Diourbel,SN,14.6628,-16.3925,76.21,11,1,10.89,clear sky
49,Balikpapan,ID,-1.2675,116.8289,82.4,79,77,3.09,broken clouds
50,Hohhot,CN,40.8106,111.6522,52.09,30,0,6.71,clear sky
51,Miles City,US,46.4083,-105.8406,18.77,66,100,7.56,overcast clouds
52,Robertsport,LR,6.7533,-11.3686,79.47,89,100,4.85,light rain
53,Hanmer Springs,NZ,-42.5167,172.8167,68.67,54,25,10.6,scattered clouds
54,Vanavara,RU,60.34,102.2797,-6.18,92,95,3.8,overcast clouds
55,Abha,SA,18.2164,42.5053,57.02,77,0,6.91,clear sky
56,Tshikapa,CD,-6.4167,20.8,71.62,96,100,1.97,light rain
57,Cockburn Town,TC,21.4612,-71.1419,77.74,83,0,21.92,clear sky
58,Komsomolskiy,UZ,40.4272,71.7189,48.92,93,75,6.91,mist
59,Jalu,LY,29.0331,21.5482,50.27,65,5,7.67,clear sky
60,Binucayan,PH,8.25,125.7167,89.58,58,80,3.76,broken clouds
61,Esperance,AU,-33.8667,121.9,76.84,45,100,9.17,overcast clouds
62,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.03,87,5,16.89,clear sky
63,Aykhal,RU,66.0,111.5,-6.95,91,100,2.44,overcast clouds
64,Puerto Ayora,EC,-0.7393,-90.3518,76.55,96,37,0.85,scattered clouds
65,Kaitangata,NZ,-46.2817,169.8464,63.86,56,56,11.77,broken clouds
66,Vaini,TO,-21.2,-175.2,86.16,79,75,11.5,broken clouds
67,Yining,CN,29.0361,114.5636,75.61,58,58,2.55,broken clouds
68,Cidreira,BR,-30.1811,-50.2056,69.62,68,100,11.16,overcast clouds
69,Huntsville,US,34.7304,-86.5861,51.6,68,100,26.46,overcast clouds
70,Nueva Gorgona,PA,8.55,-79.8667,78.58,35,5,10.54,clear sky
71,Marsa Matruh,EG,31.3525,27.2453,50.2,71,75,8.05,broken clouds
72,Bluff,NZ,-46.6,168.3333,61.81,70,18,16.22,few clouds
73,Barrow,US,71.2906,-156.7887,-14.42,98,11,8.19,few clouds
74,Chokurdakh,RU,70.6333,147.9167,-7.28,94,96,8.84,overcast clouds
75,Albany,US,42.6001,-73.9662,44.64,55,100,8.08,overcast clouds
76,Hamilton,US,39.1834,-84.5333,30.04,86,100,17.27,snow
77,Tarko-Sale,RU,64.9225,77.785,-8.63,96,88,9.37,overcast clouds
78,Nantucket,US,41.2835,-70.0995,42.91,93,100,10.36,overcast clouds
79,Paka,MY,4.6374,103.4368,82.33,78,40,6.91,scattered clouds
80,Airai,TL,-8.9266,125.4092,74.98,61,100,2.68,overcast clouds
